Time,curve_1,curve_2
0.0,0.0,1.0
0.05263157894736842,0.32469946920468346,0.9458172417006346
0.10526315789473684,0.6142127126896678,0.7891405093963936
0.15789473684210525,0.8371664782625285,0.5469481581224269
0.21052631578947367,0.9694002659393304,0.24548548714079924
0.2631578947368421,0.9965844930066698,-0.08257934547233227
0.3157894736842105,0.9157733266550575,-0.40169542465296926
0.3684210526315789,0.7357239106731317,-0.6772815716257409
0.42105263157894735,0.4759473930370737,-0.879473751206489
0.47368421052631576,0.16459459028073403,-0.9863613034027223
0.5263157894736842,-0.16459459028073378,-0.9863613034027224
0.5789473684210527,-0.47594739303707345,-0.8794737512064891
0.631578947368421,-0.7357239106731313,-0.6772815716257414
0.6842105263157894,-0.9157733266550573,-0.40169542465296987
0.7368421052631579,-0.9965844930066698,-0.08257934547233274
0.7894736842105263,-0.9694002659393305,0.2454854871407988
0.8421052631578947,-0.8371664782625288,0.5469481581224266
0.894736842105263,-0.6142127126896688,0.7891405093963929
0.9473684210526315,-0.32469946920468373,0.9458172417006346
1.0,-2.4492935982947064e-16,1.0
